Clarity Score,Analyze EDA,Propose EDA Reason,Design Targeted EDA,Analyze EDA Reason,EDA,Design Targeted EDA Reason,Target,Targets,filename,Clarity Score reason,Propose EDA
1,False,この内容は、ゲームプレイのメカニクスを調整して協調的なプレイとコミュニケーションを強化することを目的としており、ユーザーの内部感情状態を意図的に影響したり変更したりすることには向いていません。,False,この論文はゲームメカニクスや共有体験（例えば、同期された動作や目標を通じて）について論じていますが、ユーザーに期待される特定の感情的反応や感情反応を特定したり分析したりしていません。,,この論文は、デザイン要件の一部として具体的な内部感情反応（例えば、興奮や達成感、または類似の感情状態など）を明示的に定義していません。ユーザーの感情状態を直接的にターゲットにするのではなく、共有された認知の目標（目標意識）と身体的動きの保持に焦点を当てています。,,,IPSJ-EC2024020.txt,3つのEDA条件（明確に定義されたターゲット感情反応、ユーザーの感情状態に対する意図的な影響、期待される感情の喚起についての議論）が満たされていないため、この内容は定義されたEDAsを含んでいません。,False
1,False,内容はアニメの着色プロセスでの手作業の負担を減らすことを目的としており、ユーザーの感情状態に意図的に影響を与えようとしているわけではありません。,False,この論文では、コンテンツに対してユーザーが反応することが期待される感情反応についての議論はありません。,,この論文では、設計されたユーザーの感情反応について特に言及されておらず、設計要件は特定の感情体験を対象とするのではなく、技術的およびプロセスの効率に焦点を当てています。,,,IPSJ-EC2024026.txt,EDAはこの論文では議論されたり設計要素と見なされたりしておらず、内容は技術的に焦点が当てられ、ユーザーの感情を引き起こすことには重点が置かれていません。,False
1,False,いくつかのテストプレイのフィードバックには、「楽しい」やボールを打ったときの満足感のような反応が言及されていますが、これらは意図的に設計された感情的なターゲットではなく偶発的な結果です。,False,この論文は、コンテンツがどのような感情反応を引き起こすことを期待しているのかを主要なデザイン目標として明示的に議論していません。焦点は、身体的なパフォーマンストレーニングと技術的フィードバックにあり、ユーザーの内部感情状態に影響を与えることではありません。,,この論文は、VRを使用して野球における視覚運動スキルを向上させるためのトレーニングシステムの開発に焦点を当てています。開発者によって明確かつ曖昧でない形で設定された特定の感情反応（喜び、興奮、リラックスなど）をデザイン要件として定義していません。,,,IPSJ-EC2024018.txt,コンテンツは感情反応を主要なデザインのトピックとして扱っていないため、EDAは意図的に埋め込まれていないか、またはデザイン要件として詳述されていません。,False
2,True,特定の感情が設計目標として明示的に定義されていないにもかかわらず、コンテンツは明示的にユーザーの運動へのモチベーションを向上させ、ゲームプレイ中のエンゲージメントを高めることを目指しています。このようにして、ユーザー自身の感情状態（つまり、モチベーション、楽しさ、遊びの感覚を高めること）に意図的に影響を与えようとしています。,False,この論文は、運動をより楽しいものにし、利用の障壁を下げるといった期待される体験効果について議論し（例：ゲームプレイ中のユーザーの自然なエンゲージメントと反応）、展示からの観察データを報告しています。ただし、特定の感情の変化についての詳細な分析には至っていません。,,この論文は、Connected Hoopデバイスの技術的デザイン、操作、およびアプリケーションを主に説明しています。ただし、設計要件において、開発者によって明確に定義された明示的なターゲット感情応答（「達成感」、「楽しさ」、「エンゲージメント」などの正確な意図された感情）は明確に指定されていません。,,コンテンツユーザー,IPSJ-EC2024004.txt,コンテンツは運動を促進し、楽しい体験を作り出すことでユーザーの感情に影響を与えることを目的としているものの、期待される感情応答は設計要件の一部として明確にまたはあいまいに定義されていません。その結果、EDAの明示的な議論は部分的なものにとどまっています。,True
1,False,内容は、ゲーム間の共通点（目的意識と身体動作）の保存に焦点を当て、プレイヤ間の操作同期や相互作用の促進を意図しているが、ユーザの内面的な感情状態に直接作用するような仕組みが明示されているわけではない。,False,論文内で、利用時に誘発される感情反応について具体的な記述や議論はなく、ユーザがどのような感情体験を得るかを詳細に分析している部分は認められない。,,論文では、プレイヤ同士の目標意識や身体動作の共有によってコミュニケーションを促進しようという狙いはあるものの、ユーザがどのような感情（例：達成感、連帯感など）を具体的かつ明確に体験するかについては、開発者による明示的な設計要件として定義されていない。,,プレイヤ,IPSJ-EC2024020.txt,全体として、ユーザの感情状態に直接影響を与えることを目的とした設計要件や、その結果としての感情体験が具体的に述べられていないため、EDAとは認められない。,False
1,False,コンテンツの目的は、アニメ制作における着色プロセスを自動化することです。ユーザー自身の感情状態を操作または影響を与えるための意図やメカニズムは表現されていません。,False,この論文では、ユーザーに期待される感情反応がどのようなものであるかについて議論されていません。提案されたシステムの技術的評価とパフォーマンス指標に中心を置いており、ユーザーの感情への影響は考慮されていません。,,この論文には、ターゲットユーザーの感情反応を定義する明示的な設計要件は含まれていません。その焦点は、アニメの着色プロセスにおける手作業を減らすための技術的手法にあり、ユーザーの特定の感情的状態を引き出すことにはありません。,,,IPSJ-EC2024026.txt,論文にはエンターテインメントデザイン資産についての言及や、感情を引き起こすデザインについての議論はありません。トピックは厳密に技術的であるため、EDAに関連する議論は存在しません。,False
1,False,一部の参加者のフィードバックには「楽しい」や「気持ちが良い」といった感情が言及されていますが、これらはシステムデザインにおける意図的で定義されたターゲットではなく、偶発的な結果です。,False,この論文では、コンテンツの使用から期待される感情反応の種類について、主なトピックとして議論していません。前もって指定された感情状態を喚起することに明示的に焦点を当てることなく、トレーニングシステムの技術的およびパフォーマンス的な側面を詳細に説明しています。,,この論文では、明示的なデザイン要件としての感情反応を特定していません。ユーザーの感情状態を直接調整するのではなく、視覚トレーニングを通じて野球のパフォーマンスを向上させることに焦点を当てています。,,,IPSJ-EC2024018.txt,コンテンツはトレーニングとパフォーマンスの向上に中心を置いており、感情的な反応は二次的なもので、デザイン要件として明確に定義されていません。したがって、明確なEDAメカニズムは中心的なデザイン要素として組み込まれていません。,False
2,True,コンテンツは、ユーザーの感情状態に明示的に影響を与えることを目指しており（例：楽しさ、モチベーション、エンゲージメントの促進）、新しいフラフープコントローラーを使用したゲーミフィケーションとインタラクティブなプレイを通じて実現されています。,False,この論文は、評価結果とユーザー行動の観察（例えば、子供たちがゲームとどのように相互作用し、最初の困難を克服するか）について論じており、期待される感情的影響を示唆しています。しかし、対象とされている具体的な感情は、設計成果として明示的には列挙されていません。,,この論文は、デバイスとゲームを使用して運動を促進し、ゲーム体験を向上させることについて論じていますが、特定の感情反応を設計要件として明確に指定していません。設計要件は、より技術的かつ運用的な方向に偏っています。,,コンテンツユーザー,IPSJ-EC2024004.txt,コンテンツは明確に感情的反応を引き起こし、ユーザーのエンゲージメントを向上させることを目指していますが、意図された感情反応は設計要件として明示的に定義されていません。これにより、中程度のスコアとなります。,True
4,True,ゲームデザイン自体が、視聴者の感情状態（We-mode、すなわち共同主体性や一体感）に直接働きかけ、意図的にその感情を誘発することを目的としているため。,True,論文中では、視聴者が『私たち』として一体感や達成感を得る仕組みや、そのために必要な要素（目標の一致、貢献のフェア感、相互調整、同調行為）が詳細に議論されている。,視聴者全員が『私たち』として達成感や配信者とのつながりを得ることができるゲームの実現を目指す。;視聴者全員の目標は、できるだけ早くロボットをゴールへたどり着かせることであり、一体感を感じさせる。;参加者全員が『私たち』としてゲームに影響を与えたと感じられることが示された。,本ゲームは、視聴者が単なる個人ではなく『私たち』として、達成感や配信者とのつながりを感じることを目標としており、具体的にその感情体験をデザイン要件に盛り込んでいるため。,,視聴者,IPSJ-EC2024037.txt,本論文ではWe-modeの感情体験がゲームデザインの核心要素として明確に定義され、その実現条件や期待される体験が具体的に論じられているため、EDAとして非常に明瞭かつ中心的なトピックとなっている。,True
4,True,実験デザインの核心として、版権アバタと標準アバタの比較により、ユーザの緊張や羞恥の軽減という感情状態の変化を積極的に誘発し、その効果を検証することを目的としているため。,True,論文内でダンス中に感じる緊張や羞恥という具体的な感情反応について、アンケートや実験結果を通して評価し、またその背後にあるプロテウス効果を議論しているため。,VRアバタを着用してダンスを踊る際に感じる緊張や羞恥;自身の外見からかけ離れたキャラクタのアバタを着用することで，そのキャラクタになりきっている感覚,本論文では、VR空間でのダンス実験において、ユーザの緊張や羞恥という感情状態に注目し、アバタの変身感を介してこれらの感情がどのように変化するかを明確な評価軸として設定しているため。,,content user;演者役,IPSJ-EC2024024.txt,EDAsとしての緊張や羞恥の感情が論文の主要な評価対象・議論対象となっており、デザイン要件として明示され、意図的な感情変化の誘発およびその解析が行われているため。,True
2,False,このシステムはユーザーの動きに基づいたインタラクティブな体験を提供しますが、ユーザーの感情状態を故意に変えることを目的とした明確な意図や設計要件はありません。,False,この論文では、ユーザーに引き起こされることが期待される具体的な感情反応について議論や分析が行われていません。感情的効果ではなく、技術的な側面とシステムの性能に関する議論が中心となっています。,,この論文では、没入感のある喜び、興奮、または畏敬のような具体的な感情反応を設計要件として明示的に定義していません。デザインは、明確に定義された感情的ターゲットではなく、インタラクティブな視覚音響効果のための技術的実装に焦点を当てています。,,コンテンツユーザー,IPSJ-EC2024056.txt,コンテンツはEDAsを明確な焦点としていません。インタラクションが提供されているにもかかわらず、狙いとする感情反応の明確な仕様がありません。したがって、EDAsは明確に定義された主要なトピックではありません。,False
4,True,VRデュエルシステムは、ユーザーに物理的な感覚を引き起こすために、空気噴出やサーボモーターによる方向フィードバックといったメカニズムを意図的に組み込んでおり、ユーザーの感情状態に直接影響を与えます。,True,論文では、弾丸が銃に当たった際に、システムがどのようにして偏向感覚をシミュレートする視覚的および触覚的刺激を誘発するかについて詳細に議論しています。,銃が弾かれる感覚を提示する;敵の銃弾が自身の銃に当たると，その角度に応じて銃型デバイスの先端で空気が噴射され，銃が弾かれる感覚を提示する,システムは、弾丸が当たったときに銃が弾かれるという特定の触覚感覚を提供するように明示的に設計されており、体験デザインの核心部分となっています。,,コンテンツユーザー,IPSJ-EC2024109.txt,意図された触覚フィードバック（‘銃が弾かれる感覚’）は明確に定義され、中央の設計要素であり、主に技術的および機械的な視点から説明されることで、狙った感覚反応を明示化しています。,True
4,True,実験デザインの中で、キャラクタの操作性（移動速度や進行方向のノイズ）の変化を通じ、プレイヤの没入感や緊張感など、ユーザの内面的な感情状態へ直接的な影響を及ぼすことを狙っているため。,True,論文内では、アンケート調査やインタビューを通じて、『瀕死感』がプレイヤにどのような感情（例：緊張感、悔しさ、諦め）を喚起するかが詳細に議論されている。,キャラクタが死に近づいていく際にプレイヤが感じる感覚を「瀕死感」と定義する．;操作性の低下は，プレイヤの操作キャラクタに対する瀕死感の知覚に影響を与え，操作性が悪化するほど，瀕死感を強く感じる傾向にあると考察できる．,本研究では、操作キャラクタの体力低下に伴って発生する『瀕死感』という感覚を、ゲームの操作性変更を通じてプレイヤに意図的に提示することを目的としており、対象となる感情が明確に定義されている。,,プレイヤ,IPSJ-EC2024041.txt,EDAsは本論文の主要設計要素として明確に定義され、その影響が実験的に評価されており、ユーザの感情変化に焦点が当てられていることから、非常にわかりやすい。,True
4,True,ロボットの動作によって、直接的にユーザーの心理状態（安心感、緊張の緩和、発言へのハードルの低減）に働きかけることを狙っており、コンテンツ自体がユーザーの感情変容を目的としている。,True,論文内では、シナリオ例や具体的なインタラクション手法を通じて、どのような感情（例：緊張感の軽減、発言の促進）が期待されるのかが詳細に議論されている。,緊張感を生じさせずに自発的な発言を促す;あたかも話を聞きたがるように近づく,本論文では、会議における発言促進のために、参加者が感じる『緊張感』や『プレッシャー』を与えない、自己発信を促す環境づくりを狙っており、そのためのロボットの動作が設計要件に含まれているため。,,会議参加者;発言の少ない参加者,IPSJ-EC2024093.txt,ロボットの動作設計において、『緊張感を生じさせずに自発的な発言を促す』という明確な心理的効果を追求しているため、EDAに関して非常に明白な設計意図が読み取れる。,True
4,True,システムは、ユーザに直接影響を与える激励文を生成し、活動の継続に必要な内面的な支援（モチベーションの向上）を意図的に与えることを目指している。,True,論文中では、生成された激励文がユーザにどのような感情的反応（理解・評価されている実感、モチベーション維持・向上）をもたらすかが、定性的評価を通して分析されているため。,ユーザの継続意欲を向上させる激励文の生成システム;個々のユーザが直面する具体的な困難や成果に応じた支援;モチベーションを高めることを目的としている;自分の努力が理解され，評価されていると感じた,本稿では、ユーザの継続意欲やモチベーション向上という具体的な感情状態を直接狙った激励文生成システムの設計要件が示されているため。,,content user,IPSJ-EC2024086.txt,激励による感情変化（継続意欲・モチベーションの向上）がシステム設計の中心テーマとして明瞭に述べられており、対象となる感情も具体的に記載されている。,True
4,True,提案手法自体が、投げ銭時のトリガー操作における抵抗値と押下深さの調整を通じて、ユーザの感情状態（例えば達成感や実感）に直接影響を与えることを目的としており、コンテンツ使用中に意図的に感情体験を誘発することが狙いである。,True,論文内では実験・アンケートを通して、ユーザが投げ銭時に感じた達成感、躊躇い、お金の重さなどの具体的な感情反応を分析しており、どのような触覚提示がどの感情を引き起こすかが議論されている。,投げ銭時の触覚によって達成感が生まれる可能性が示された．;ユーザ各々にコンテンツを阻害せず，お金を投げている感覚を提示する．;抵抗がある時お金を投げている感覚について…「お金の重さを感じ投げている実感があって楽し い」，「貢いでいる感覚があって嬉しい」,本研究は、投げ銭時にユーザが触覚を通して「お金を投げている感覚」や達成感、さらには躊躇いといった心理的反応を、金額に応じた触覚変化として明示的に体験できるよう設計されているため、開発者側で具体的な感情体験が定義されている。,,コンテンツユーザ,IPSJ-EC2024076.txt,論文は触覚制御を中心とした手法およびその心理的影響（例えば、達成感や実感）の提示を明確に述べ、実験とアンケートによりその効果を検証しているため、EDAとしての設計意図や実験効果が非常に明快に示されている。,True
2,True,システム全体が、単に技術的な映像共有やアバター操作の実現だけでなく、視聴者がVR空間内でより没入した体験を得るという感情的効果（例：実在感、存在感の強調）を狙っているため、ユーザーの内面的な感情状態に働きかけることが目的となっている。,True,論文中では、実験の結果として視聴者からのフィードバック（例：アバターの存在感の薄さ、視点映像の追従が引き起こす「疲れ」など）が報告され、これらの反応がシステムの設計と連動していることが示唆されているため、ユーザーの感情状態に関する議論がなされている。,視聴者が空間への没入感を高く感じる;アバターの存在感が薄れる;視聴自体が「疲れる」,本研究では、VR空間における視聴体験の没入感を高めることを狙いとしており、例えば主観映像の提示方法やアバターの配置といった手法を通して、ユーザーに実世界に近い体験を提供する工夫がされている。この点は、感情（没入感や存在感）に直接影響を与える設計要件として示されているため、デザイン段階で意図的にユーザーの感情状態を操作しようとしている。,,視聴ユーザー,IPSJ-EC2024100.txt,感情への働きかけ、特に『没入感』や『存在感』の向上はシステムの設計目標の一端として明示されているが、全体としては技術的実現が主眼となっており、感情状態そのものの定量的または詳細な仕様は十分に詳述されていない。そのため、EDAs（ユーザーの感情に直接作用する機構）としては存在するものの、主題として徹底的に議論されてはいない。,True
1,False,コンテンツは、音楽の伴奏（合いの手）を生成するための技術的課題とアプローチ、特にパフォーマンスの自然さを向上させることに主に焦点を当てており、ユーザーの内部の感情状態に影響を与えることを意図的に目指していません。,False,この論文では、ユーザーから引き出されることが期待される具体的な感情的反応について議論していません。その代わりに、意図的な感情操作に明確な強調がなく、リズムの自然さや同期といった技術的パフォーマンスの改善に焦点を合わせています。,,この論文では、設計要件の一部として対象とされる感情的反応を明示的に定義していません。ジャムセッション中により「人間らしい」インタラクティブなパフォーマンス体験を提供することを目指していますが、ユーザーに喚起されることが期待される感情的結果を明確に指定していません。,,,IPSJ-EC2024073.txt,設計要件も実装も、ユーザーの内部の感情状態を主要な目標として明確に目指したり分析したりしていないため、ここで定義されたEDAsの存在は欠けています。,False
4,True,システムの設計や実運用の過程で、視聴者に強い没入感や臨場感を与え、感情的な体験を喚起することを狙った機能が織り込まれているため。,True,論文内では、実際のツアー実施後のアンケート調査を通して、利用者が感じた満足度や体験のリアルさについて詳細に分析されており、どのような感情体験が狙われたのかが記述されている。,臨場感あふれるジャングルバスオンラインツアーを提供できるシステム;動物がエサを食べる瞬間を間近で撮影し，視聴者に配信できる,本システムは、利用者（視聴者）に臨場感あふれるオンラインツアー体験を提供することを明確な目的としており、動物がエサを食べる瞬間を間近で捉えるなど、感情面的なリアリティや没入感を直接狙っている。,,視聴者;オンラインツアー参加者,IPSJ-EC2024002.txt,EDAsは本研究のサービス提供コンセプトの中心に位置付けられており、‘臨場感あふれるオンラインツアー’という具体的な表現や、利用者の感情反応を測定するアンケート結果が示されているため、明瞭に意図が伝わる。,True
4,True,現実世界とデジタル世界の連動を通じ、プレイヤが意図的に深い没入感や満足感を経験できるよう設計しており、ユーザーの感情状態に直接影響を与えることを企図している。,True,論文中では、ゲーム利用によってどのような感情体験（没入感、イリュージョン感、適度な納得感、意外性、満足感など）が引き起こされるかについて、具体的な例や手法を挙げながら解説している。,現実世界とリンクさせることで，プレイヤの没入感やイリュージョン感覚を高める;プレイヤの意図や工夫が反映される「納得感」;時には「意外な展開」を生じさせることを目指す;より深い没入感と満足感を得ることができる,本稿では、ゲームデザインの一環としてプレイヤの感情に直接働きかけることが明示されており、特に『没入感』、『適度な納得感』、『意外性』などが狙いとして具体的に述べられているため。,,プレイヤ,IPSJ-EC2024013.txt,EDAs（エンターテインメント・デザインアセット）の対象である感情反応が、ゲームデザインの核となる要素として明示され、詳細に説明されているため、非常に明確である。,True
1,False,この内容は、ユーザーの内部感情状態に意図的に影響を与えたり変更したりするのではなく、視覚的特徴の共有認識と注釈を促進することを目的としています。,False,この論文は、プレイヤーが自分の主観的な印象（例：テクスチャ、触覚の印象）を共有し説明する方法について論じていますが、ユーザーの感情的変化の意図については分析したり特定したりしていません。,,この論文は、設計要件として具体的なユーザーの感情反応を定義しておらず、予め決められた感情状態をターゲットとするのではなく、視覚的テクスチャの擬音表現を収集することに焦点を当てています。,,,IPSJ-EC2024038.txt,この論文は特定のユーザーの感情を喚起したり管理したりすることを設計目標にしていないため、デザインにおけるEDAの役割はわずかです。,False
1,False,コンテンツがユーザー自身の感情状態に意図的に影響を与えることを目的としているという示唆はありません。技術的なゲームプレイの統合と共有された物理的インタラクションに重点を置いています。,False,この論文では、コンテンツと対話する際にユーザーから期待される特定の感情的反応について議論したり分析したりしていません。議論は感情的影響よりもゲームの接続性と共通の体験に中心を置いています。,,この論文では、設計要件の一部として特定の感情的反応が意図されていることを示していません。特定の感情体験を引き起こすのではなく、ゲームメカニクス（目標意識と身体動作の共有）をつなげることに焦点を当てています。,,,IPSJ-EC2024020.txt,この論文はEDA（ユーザーの感情状態を変えるメカニズム）を設計目標として扱っておらず、異なるゲーム要素の統合と共有ゲームメカニクスの保持に焦点を当てています。,False
1,False,コンテンツは、ユーザーの感情状態を意図的に影響するのではなく、着色プロセスにおける手作業を削減し、生産効率を向上させることを目的としています。,False,コンテンツを使用した際にどのような感情反応が予想されるのかについての議論はなく、論文はアルゴリズムの正確性とシステムの効率性に集中しています。,,この論文はデザイン要件の一部として明示的にターゲットとされたユーザーの感情的反応を定義していません。その焦点は、ユーザーの感情を引き出したり調整したりするのではなく、着色作業を自動化するための技術的処理にあります。,,,IPSJ-EC2024026.txt,この論文は画像処理技術に焦点を当てた明確な技術的研究であり、ユーザーの特定の感情体験を引き出すことに重点は置かれていません。,False
1,False,このコンテンツは、スポーツビジョンとバッティングパフォーマンスのスキル向上を目的としており、ユーザーの感情状態に意図的に影響を与えることを目的としていません。,False,テスト参加者は、ボールがホームランのように打たれたときにシステムが「楽しい」と「良い」と感じたとコメントしましたが、論文ではこれらを意図されたものや体系的に設計された感情的結果として論じていません。,,この論文は、デザイン要件の一部として特定のユーザー感情反応を明確に定義しておらず、主にトレーニングを通じて視覚的および物理的パフォーマンスの向上に焦点を当てています。,,,IPSJ-EC2024018.txt,この論文の主な焦点は、特定の感情反応を引き起こすことに明確な強調がない技術トレーニングの側面とパフォーマンスフィードバックにあり、そのため明確なEDAはありません。,False
2,False,アプリケーション（例：HoooPizza）は運動を促進し、魅力的なゲームプレイを創出することを目的としていますが、ユーザーのモチベーションや楽しみを影響を与えるという暗黙の目的があります。ただし、これらを開発者が定義したターゲット感情反応として明示的には位置付けていません。,False,この論文はユーザーの相互作用や展示評価（例：ユーザー行動やエンゲージメントの観察）について論じていますが、使用中にどの特定の感情反応が引き起こされることが期待されるかを直接的に明言していません。,,この論文は、Connected Hoopの技術的および利用面とその応用について主に説明しています。ユーザーの設計要件として特定の感情反応（例：明示的な感情状態）を明確に指定していません。,,ゲーム利用者;試遊者,IPSJ-EC2024004.txt,この論文は、明確に定義された明示的な感情（EDA）設計要件よりも、技術的実現、デバイス機能、およびゲームプレイの応用に主に焦点を当てています。したがって、EDAは明確に区別された主要なトピックではありません。,True
1,False,システムが感情パラメータ（例：幸せ、好意、不安）を操作して物語の結果に影響を与えますが、コンテンツが意図的にユーザー自身の感情を変化させることを目的としているという記述はありません。むしろ、エンベロープ操作を通じて物語を語ることに焦点を当てています。,False,この論文では、エンベロープのダイナミクスが物語とキャラクターの関係を形成する方法について論じていますが、システムがユーザー（すなわちシステムを操作する人）に引き起こすことが期待される具体的な感情反応については分析または議論していません。,,この論文では、登場人物や物語世界の架空の「鑑賞者」の感情の動きを表すためにエンベロープを定義していますが、実際のコンテンツユーザーに直接引き起こされる意図された感情反応を明示的には指定していません。このデザインは、ユーザー自身の感情状態を明確な設計要件として対象にしていません。,[],,IPSJ-EC2024030.txt,この論文は、実際のコンテンツユーザーに対して明確に定義された感情反応を設計要件として設定しておらず、ユーザー自身の感情状態における意図的な感情喚起について議論していないため、明確なEDAコンテンツが不足していると評価されます。,False
1,False,このアプリケーションは視点によって視覚的外観を変えることによってインタラクティブな体験を生み出しますが、明確に定義された方法でユーザーの内部的な感情状態を変えることを意図していません。,False,この論文の議論は、食用レンズシステムの設計、シミュレーション、製作、および応用に集中しています。インタラクションから期待されるユーザーの感情反応（例：驚き、喜び）が何であるかについて明示的に議論されていません。,,この論文では、設計要件の一部としてユーザーの感情反応（明示的な感情や気分状態など）を特定していません。設計の焦点は、特定の感情状態を直接引き起こすことではなく、視覚的効果とインタラクティブな食のプレゼンテーションにあります。,[],,IPSJ-EC2024003.txt,この論文では、ターゲットとなる感情反応を明確にせず、それを主要なトピックとして設計していないため、EDAの側面が内容において明らかではありません。,False
2,True,システムは、擬似触覚を通じてユーザーの知覚とセンサーモーター体験を意図的に変えるように設計されています。コンテンツは、インタラクション中に触覚の錯覚を引き起こすことを目的とした視覚フィードバックメカニズムを導入し、ユーザーの主観的な感覚的な感情に影響を与えます。,False,この論文は、擬似触覚フィードバックの効果について詳細な実験評価とカスタム質問票（例えば「ターゲットに触れているような感覚」についての項目）を通じて議論しており、ユーザーの触覚認知と主観的体験を評価しています。これは、研究が喚起された感情反応の種類と強さを分析していることを示しています。,ターゲットに触れているような感覚,この論文は擬似触覚フィードバック（例えば、指の形状の変化、ターゲットの色、押し込み効果）を実装し、経験された感覚（例えば「錯触覚」や接触の認識）を評価していますが、これらの対象とした感情反応は開発者によって明示的に設計要件として定義されていません。むしろ、特定の感情状態を生み出すための明確なデザイン指示としてではなく、性能の相関関係として調査されています。,['コンテンツユーザー'],,IPSJ-EC2024006.txt,論文は擬似触覚効果とユーザー感覚を深く探求しており（これは感じられる状態の一種です）、その主な焦点は性能向上と評価にあります。意図された感情反応は、明確に確立されたデザインターゲットというよりは、出現する特性であるため、EDAは明確に定義された主要なテーマではありません。,True
1,False,提案されたシステムは、カスタマイズ可能な絵文字コンポーネントを通じてメッセージ送信における感情表現の精度を改善することを目的としています。明示的なデザインターゲットとして、ユーザーの内部的な感情状態（例えば、達成感、解放感など）を意図的に影響を与えることは目指していません。,False,この論文は、絵文字表現の変化（例えば、感情的ニュアンスを反映する涙やハートの数やサイズの変化）について論じていますが、システムを使用することによるユーザー自身の感情の変化を直接的に分析または詳細化していません。,,この論文は、テキストコミュニケーションにおける感情的ニュアンスを伝えるための絵文字のカスタマイズについて扱っていますが、システムがユーザーに直接誘発するように設計された感情反応が明確に定義されていません。デザイン要件は、ユーザー自身の感情状態を操作するのではなく、カスタマイズ可能な部分を通じて送信者の意図する感情を表現することに焦点を当てています。,[],,IPSJ-EC2024005.txt,この論文はコミュニケーションにおける感情的ニュアンスを洗練する必要性について明確ですが、ユーザー自身の感情状態を直接変更することを目的としたメカニズムを特定したり議論したりしていません。これはここで定義されたエンターテインメントデザインアセット（EDA）には必要です。,False
1,False,コンテンツは、あくまで異なるゲーム同士の接続によって共有体験やコミュニケーションの促進を目指しており、ユーザの感情状態に直接働きかけるメカニズムが設計上の主たる目的ではない。,False,論文中では、利用者の感情反応として何をどのように喚起するかという点について、具体的かつ明確な議論は展開されておらず、感情操作のメカニズムとしてのEDAは言及されていない。,,本論文は、プレイヤ間での目標意識と身体動作の共有によりゲーム体験の共通性を高めることに焦点を当てており、ユーザに特定の感情状態（例：達成感や興奮など）を明確に狙った設計要件として定義していない。,,プレイヤ,IPSJ-EC2024020.txt,EDAとしての明確な感情状態の定義、意図的な感情誘導の設計要件、及びその効果に関する議論が存在しないため、EDAsに該当する要素は認められない。,False
1,False,システムがユーザー自身の感情状態に意図的に影響を与えたり変更したりするように設計されているという兆候はない。,False,この論文は、ユーザーに引き起こされる期待される感情反応について議論していない。方法の開発と技術的評価に集中している。,,この論文は、設計要件の一部としてユーザーの感情状態を特定していない。画像処理のアルゴリズム的および技術的側面にのみ焦点を当てており、特定の感情的応答をターゲットにしていない。,,,IPSJ-EC2024026.txt,コンテンツが感情を引き起こすデザインや感情的ユーザー応答に関わらないため、EDA要素は存在せず、EDAに関する明確性スコアが最低となっている。,False
1,False,コンテンツはユーザの感情状態に直接影響を与える設計意図は示されず、主に運動能力の向上と視覚機能のトレーニングに主眼を置いている。,False,論文内で、使用により誘発される具体的な感情反応の詳細な議論や解析が行われていない。,,本論文はHMDを活用した野球の打撃技術やスポーツビジョンの向上にフォーカスしており、ユーザの感情状態を直接変化させるために具体的な感情（例：興奮、楽しさ、満足感など）を明示的な設計目標として定義していない。,,野球プレイヤー,IPSJ-EC2024018.txt,EDAに関連する要素は、本研究の主要トピックではなく、感情の明示的な設計要求および評価がなされていないため、EDAは存在しないと判断される。,False
