EDA,Clarity Score,Analyze EDA Reason,Design Targeted EDA Reason,filename,Targets,Analyze EDA,Propose EDA,Design Targeted EDA,Propose EDA Reason,Clarity Score reason
視聴者全員が『私たち』として達成感や配信者とのつながりを得ることができるゲームの実現を目指す。;視聴者全員の目標は、できるだけ早くロボットをゴールへたどり着かせることであり、一体感を感じさせる。;参加者全員が『私たち』としてゲームに影響を与えたと感じられることが示された。,4,論文中では、視聴者が『私たち』として一体感や達成感を得る仕組みや、そのために必要な要素（目標の一致、貢献のフェア感、相互調整、同調行為）が詳細に議論されている。,本ゲームは、視聴者が単なる個人ではなく『私たち』として、達成感や配信者とのつながりを感じることを目標としており、具体的にその感情体験をデザイン要件に盛り込んでいるため。,IPSJ-EC2024037.txt,視聴者,True,True,True,ゲームデザイン自体が、視聴者の感情状態（We-mode、すなわち共同主体性や一体感）に直接働きかけ、意図的にその感情を誘発することを目的としているため。,本論文ではWe-modeの感情体験がゲームデザインの核心要素として明確に定義され、その実現条件や期待される体験が具体的に論じられているため、EDAとして非常に明瞭かつ中心的なトピックとなっている。
VRアバタを着用してダンスを踊る際に感じる緊張や羞恥;自身の外見からかけ離れたキャラクタのアバタを着用することで，そのキャラクタになりきっている感覚,4,論文内でダンス中に感じる緊張や羞恥という具体的な感情反応について、アンケートや実験結果を通して評価し、またその背後にあるプロテウス効果を議論しているため。,本論文では、VR空間でのダンス実験において、ユーザの緊張や羞恥という感情状態に注目し、アバタの変身感を介してこれらの感情がどのように変化するかを明確な評価軸として設定しているため。,IPSJ-EC2024024.txt,content user;演者役,True,True,True,実験デザインの核心として、版権アバタと標準アバタの比較により、ユーザの緊張や羞恥の軽減という感情状態の変化を積極的に誘発し、その効果を検証することを目的としているため。,EDAsとしての緊張や羞恥の感情が論文の主要な評価対象・議論対象となっており、デザイン要件として明示され、意図的な感情変化の誘発およびその解析が行われているため。
,2,この論文では、ユーザーに引き起こされることが期待される具体的な感情反応について議論や分析が行われていません。感情的効果ではなく、技術的な側面とシステムの性能に関する議論が中心となっています。,この論文では、没入感のある喜び、興奮、または畏敬のような具体的な感情反応を設計要件として明示的に定義していません。デザインは、明確に定義された感情的ターゲットではなく、インタラクティブな視覚音響効果のための技術的実装に焦点を当てています。,IPSJ-EC2024056.txt,コンテンツユーザー,False,False,False,このシステムはユーザーの動きに基づいたインタラクティブな体験を提供しますが、ユーザーの感情状態を故意に変えることを目的とした明確な意図や設計要件はありません。,コンテンツはEDAsを明確な焦点としていません。インタラクションが提供されているにもかかわらず、狙いとする感情反応の明確な仕様がありません。したがって、EDAsは明確に定義された主要なトピックではありません。
銃が弾かれる感覚を提示する;敵の銃弾が自身の銃に当たると，その角度に応じて銃型デバイスの先端で空気が噴射され，銃が弾かれる感覚を提示する,4,論文では、弾丸が銃に当たった際に、システムがどのようにして偏向感覚をシミュレートする視覚的および触覚的刺激を誘発するかについて詳細に議論しています。,システムは、弾丸が当たったときに銃が弾かれるという特定の触覚感覚を提供するように明示的に設計されており、体験デザインの核心部分となっています。,IPSJ-EC2024109.txt,コンテンツユーザー,True,True,True,VRデュエルシステムは、ユーザーに物理的な感覚を引き起こすために、空気噴出やサーボモーターによる方向フィードバックといったメカニズムを意図的に組み込んでおり、ユーザーの感情状態に直接影響を与えます。,意図された触覚フィードバック（‘銃が弾かれる感覚’）は明確に定義され、中央の設計要素であり、主に技術的および機械的な視点から説明されることで、狙った感覚反応を明示化しています。
キャラクタが死に近づいていく際にプレイヤが感じる感覚を「瀕死感」と定義する．;操作性の低下は，プレイヤの操作キャラクタに対する瀕死感の知覚に影響を与え，操作性が悪化するほど，瀕死感を強く感じる傾向にあると考察できる．,4,論文内では、アンケート調査やインタビューを通じて、『瀕死感』がプレイヤにどのような感情（例：緊張感、悔しさ、諦め）を喚起するかが詳細に議論されている。,本研究では、操作キャラクタの体力低下に伴って発生する『瀕死感』という感覚を、ゲームの操作性変更を通じてプレイヤに意図的に提示することを目的としており、対象となる感情が明確に定義されている。,IPSJ-EC2024041.txt,プレイヤ,True,True,True,実験デザインの中で、キャラクタの操作性（移動速度や進行方向のノイズ）の変化を通じ、プレイヤの没入感や緊張感など、ユーザの内面的な感情状態へ直接的な影響を及ぼすことを狙っているため。,EDAsは本論文の主要設計要素として明確に定義され、その影響が実験的に評価されており、ユーザの感情変化に焦点が当てられていることから、非常にわかりやすい。
緊張感を生じさせずに自発的な発言を促す;あたかも話を聞きたがるように近づく,4,論文内では、シナリオ例や具体的なインタラクション手法を通じて、どのような感情（例：緊張感の軽減、発言の促進）が期待されるのかが詳細に議論されている。,本論文では、会議における発言促進のために、参加者が感じる『緊張感』や『プレッシャー』を与えない、自己発信を促す環境づくりを狙っており、そのためのロボットの動作が設計要件に含まれているため。,IPSJ-EC2024093.txt,会議参加者;発言の少ない参加者,True,True,True,ロボットの動作によって、直接的にユーザーの心理状態（安心感、緊張の緩和、発言へのハードルの低減）に働きかけることを狙っており、コンテンツ自体がユーザーの感情変容を目的としている。,ロボットの動作設計において、『緊張感を生じさせずに自発的な発言を促す』という明確な心理的効果を追求しているため、EDAに関して非常に明白な設計意図が読み取れる。
ユーザの継続意欲を向上させる激励文の生成システム;個々のユーザが直面する具体的な困難や成果に応じた支援;モチベーションを高めることを目的としている;自分の努力が理解され，評価されていると感じた,4,論文中では、生成された激励文がユーザにどのような感情的反応（理解・評価されている実感、モチベーション維持・向上）をもたらすかが、定性的評価を通して分析されているため。,本稿では、ユーザの継続意欲やモチベーション向上という具体的な感情状態を直接狙った激励文生成システムの設計要件が示されているため。,IPSJ-EC2024086.txt,content user,True,True,True,システムは、ユーザに直接影響を与える激励文を生成し、活動の継続に必要な内面的な支援（モチベーションの向上）を意図的に与えることを目指している。,激励による感情変化（継続意欲・モチベーションの向上）がシステム設計の中心テーマとして明瞭に述べられており、対象となる感情も具体的に記載されている。
投げ銭時の触覚によって達成感が生まれる可能性が示された．;ユーザ各々にコンテンツを阻害せず，お金を投げている感覚を提示する．;抵抗がある時お金を投げている感覚について…「お金の重さを感じ投げている実感があって楽し い」，「貢いでいる感覚があって嬉しい」,4,論文内では実験・アンケートを通して、ユーザが投げ銭時に感じた達成感、躊躇い、お金の重さなどの具体的な感情反応を分析しており、どのような触覚提示がどの感情を引き起こすかが議論されている。,本研究は、投げ銭時にユーザが触覚を通して「お金を投げている感覚」や達成感、さらには躊躇いといった心理的反応を、金額に応じた触覚変化として明示的に体験できるよう設計されているため、開発者側で具体的な感情体験が定義されている。,IPSJ-EC2024076.txt,コンテンツユーザ,True,True,True,提案手法自体が、投げ銭時のトリガー操作における抵抗値と押下深さの調整を通じて、ユーザの感情状態（例えば達成感や実感）に直接影響を与えることを目的としており、コンテンツ使用中に意図的に感情体験を誘発することが狙いである。,論文は触覚制御を中心とした手法およびその心理的影響（例えば、達成感や実感）の提示を明確に述べ、実験とアンケートによりその効果を検証しているため、EDAとしての設計意図や実験効果が非常に明快に示されている。
視聴者が空間への没入感を高く感じる;アバターの存在感が薄れる;視聴自体が「疲れる」,2,論文中では、実験の結果として視聴者からのフィードバック（例：アバターの存在感の薄さ、視点映像の追従が引き起こす「疲れ」など）が報告され、これらの反応がシステムの設計と連動していることが示唆されているため、ユーザーの感情状態に関する議論がなされている。,本研究では、VR空間における視聴体験の没入感を高めることを狙いとしており、例えば主観映像の提示方法やアバターの配置といった手法を通して、ユーザーに実世界に近い体験を提供する工夫がされている。この点は、感情（没入感や存在感）に直接影響を与える設計要件として示されているため、デザイン段階で意図的にユーザーの感情状態を操作しようとしている。,IPSJ-EC2024100.txt,視聴ユーザー,True,True,True,システム全体が、単に技術的な映像共有やアバター操作の実現だけでなく、視聴者がVR空間内でより没入した体験を得るという感情的効果（例：実在感、存在感の強調）を狙っているため、ユーザーの内面的な感情状態に働きかけることが目的となっている。,感情への働きかけ、特に『没入感』や『存在感』の向上はシステムの設計目標の一端として明示されているが、全体としては技術的実現が主眼となっており、感情状態そのものの定量的または詳細な仕様は十分に詳述されていない。そのため、EDAs（ユーザーの感情に直接作用する機構）としては存在するものの、主題として徹底的に議論されてはいない。
,1,この論文では、ユーザーから引き出されることが期待される具体的な感情的反応について議論していません。その代わりに、意図的な感情操作に明確な強調がなく、リズムの自然さや同期といった技術的パフォーマンスの改善に焦点を合わせています。,この論文では、設計要件の一部として対象とされる感情的反応を明示的に定義していません。ジャムセッション中により「人間らしい」インタラクティブなパフォーマンス体験を提供することを目指していますが、ユーザーに喚起されることが期待される感情的結果を明確に指定していません。,IPSJ-EC2024073.txt,,False,False,False,コンテンツは、音楽の伴奏（合いの手）を生成するための技術的課題とアプローチ、特にパフォーマンスの自然さを向上させることに主に焦点を当てており、ユーザーの内部の感情状態に影響を与えることを意図的に目指していません。,設計要件も実装も、ユーザーの内部の感情状態を主要な目標として明確に目指したり分析したりしていないため、ここで定義されたEDAsの存在は欠けています。
臨場感あふれるジャングルバスオンラインツアーを提供できるシステム;動物がエサを食べる瞬間を間近で撮影し，視聴者に配信できる,4,論文内では、実際のツアー実施後のアンケート調査を通して、利用者が感じた満足度や体験のリアルさについて詳細に分析されており、どのような感情体験が狙われたのかが記述されている。,本システムは、利用者（視聴者）に臨場感あふれるオンラインツアー体験を提供することを明確な目的としており、動物がエサを食べる瞬間を間近で捉えるなど、感情面的なリアリティや没入感を直接狙っている。,IPSJ-EC2024002.txt,視聴者;オンラインツアー参加者,True,True,True,システムの設計や実運用の過程で、視聴者に強い没入感や臨場感を与え、感情的な体験を喚起することを狙った機能が織り込まれているため。,EDAsは本研究のサービス提供コンセプトの中心に位置付けられており、‘臨場感あふれるオンラインツアー’という具体的な表現や、利用者の感情反応を測定するアンケート結果が示されているため、明瞭に意図が伝わる。
現実世界とリンクさせることで，プレイヤの没入感やイリュージョン感覚を高める;プレイヤの意図や工夫が反映される「納得感」;時には「意外な展開」を生じさせることを目指す;より深い没入感と満足感を得ることができる,4,論文中では、ゲーム利用によってどのような感情体験（没入感、イリュージョン感、適度な納得感、意外性、満足感など）が引き起こされるかについて、具体的な例や手法を挙げながら解説している。,本稿では、ゲームデザインの一環としてプレイヤの感情に直接働きかけることが明示されており、特に『没入感』、『適度な納得感』、『意外性』などが狙いとして具体的に述べられているため。,IPSJ-EC2024013.txt,プレイヤ,True,True,True,現実世界とデジタル世界の連動を通じ、プレイヤが意図的に深い没入感や満足感を経験できるよう設計しており、ユーザーの感情状態に直接影響を与えることを企図している。,EDAs（エンターテインメント・デザインアセット）の対象である感情反応が、ゲームデザインの核となる要素として明示され、詳細に説明されているため、非常に明確である。
,1,この論文は、プレイヤーが自分の主観的な印象（例：テクスチャ、触覚の印象）を共有し説明する方法について論じていますが、ユーザーの感情的変化の意図については分析したり特定したりしていません。,この論文は、設計要件として具体的なユーザーの感情反応を定義しておらず、予め決められた感情状態をターゲットとするのではなく、視覚的テクスチャの擬音表現を収集することに焦点を当てています。,IPSJ-EC2024038.txt,,False,False,False,この内容は、ユーザーの内部感情状態に意図的に影響を与えたり変更したりするのではなく、視覚的特徴の共有認識と注釈を促進することを目的としています。,この論文は特定のユーザーの感情を喚起したり管理したりすることを設計目標にしていないため、デザインにおけるEDAの役割はわずかです。
