Analyze EDA Reason,Propose EDA Reason,Clarity Score reason,Design Targeted EDA,filename,Design Targeted EDA Reason,Targets,Propose EDA,EDA,Analyze EDA,Clarity Score
論文内では、We-mode の生起条件やその実現のために必要な要素について詳しく議論され、さらに実験で参加者の主観評価（共同制御感、共同貢献感）を通して感情体験が評価されている。,デザイン自体が、視聴者の感情状態、すなわち共同主体性や一体感（We-mode）を意図的に喚起することを目的としており、ユーザ自身の感情状態への影響を狙っている。,We-modeの誘発をゲームの主要な目的とし、具体的な設計要件や実験による評価が行われているため、対象となる感情体験が明示的かつ中心的に取り扱われている。,True,IPSJ-EC2024037.txt,本論文では、ゲームデザインの狙いとして、視聴者全員が『私たち』として達成感や配信者とのつながりを得るという、明確な感情体験（We-mode）の創出が掲げられており、これはデザイン要件として明示されている。,視聴者;ゲーム参加者,True,視聴者全員が『私たち』として達成感や配信者とのつながりを得ることができる;大規模 We-mode を生起させる;参加者全員がゲームに影響を与えたと感じることができ，達成感や配信者とのつながりを得ることができる,True,4
この論文では、どのような感情的反応が期待されるかについて詳しく議論しており、アバターの効果を評価するために質的（認知された緊張と羞恥に関する質問票）および量的な指標（ダンスゲームのスコア）を提供しています。,このコンテンツは意図的にユーザーの感情状態に影響を与えることを目指しています。アバターの選択が、VRダンスパフォーマンス中のユーザーの緊張と羞恥の感情に直接影響を与えるようにデザインされています。,プロテウス効果を通じて緊張と羞恥を軽減することに焦点を当てることは、この論文の主要なトピックの一つであり、これらの感情状態は明確に定義され、実験デザインに統合され、明示的に測定されています。,True,IPSJ-EC2024024.txt,この論文は、ユーザーの感情状態（特に、緊張と羞恥）が対象であることを明確に示しています。デザイン仮説は、自分の外見とは非常に異なるアバターを着用することで（プロテウス効果を活用して）、ユーザーはこれらの否定的な感情の軽減を体験するというものです。,コンテンツユーザー（VRアバターの着用者 / ダンスパフォーマー）,True,VRアバタを着用してダンスを踊る際に感じる緊張や羞恥;プロテウス効果により緊張や羞恥が軽減される;自身の外見からかけ離れたキャラクタのアバタを着用することで、そのキャラクタになりきっている感覚,True,4
論文では「より没入感のある体験」の提供のような要素が言及されていますが、ユーザーから期待される具体的な感情反応については詳細に論じていません。したがって、感情的な影響の徹底的な分析は行われていません。,このシステムは、ユーザーの体の動きによって引き起こされる特別な攻撃アニメーションなど、インタラクティブな視覚フィードバックを提供するように意図的に設計されています。そういう意味では、特定のムード（例えば、没入感のある感覚）を喚起することを目指しています。,論文のインタラクティブなアプローチは、いくつかの感情的影響（例えば、没入感）が望ましいことを示唆していますが、明示的で明確に定義されたターゲット感情の欠如や、意図された感情反応の詳細な議論がないため、EDAはわずかにしか取り扱われていません。,False,IPSJ-EC2024056.txt,この論文は、設計要件の一部として特定の感情反応（例えば、興奮、驚嘆、達成感などの明確な感情状態）を明確に指定していません。主に技術的機能性とインタラクティブな反応に焦点を当てており、正確な感情ターゲットを定義していません。,コンテンツユーザー,True,より没入感のある体験を提供,False,2
"The paper discusses in detail how the experience of 'feeling bullets being deflected' is presented, as well as the physical and emotional background (expressions in Westerns, comedies, etc.).",The system aims to directly influence the user's haptic state using specific mechanisms such as air jets when enemy bullets hit the user's gun.,"The sensory experience as a central element of system design is explicitly stated, and it clearly describes what kind of haptic experience is targeted, resulting in a high level of clarity.",True,IPSJ-EC2024109.txt,"This paper is designed to provide users with a 'feeling of bullets being deflected' as a predetermined haptic feedback in the VR duel system, with the premise that players will definitely experience it.",content user,True,銃が弾かれる体験;銃が弾かれる感覚,True,4
論文では、瀕死感の提示がプレイヤの没入感に与える影響を実験（アンケートやインタビュー）を通して解析しており、どのような感情反応が狙われているかが記述されている。,操作キャラクタの体力に伴う操作性の変化を通じて、プレイヤに意図的に瀕死感を与え、これが没入感にどのように影響するかを検証するという目的から、ユーザーの感情状態に直接影響を与える仕組みが提案されている。,EDAsとしての瀕死感の提示は、研究の中心テーマとして明示的に定義・設計され、実験によりその効果が議論されているため、非常に明瞭である。,True,IPSJ-EC2024041.txt,本研究では、キャラクタが死亡または戦闘不能に近づく際にプレイヤが感じる『瀕死感』を明確に定義し、ゲームシステム（操作性の変化）として設計要件に組み込んでいるため、ユーザー（プレイヤ）の感情状態に直接働きかける要素が明確に指定されている。,プレイヤ,True,キャラクタが死に近づいていく際にプレイヤが感じる感覚を『瀕死感』と定義する．;操作性の変化により、プレイヤは操作キャラクタが死に近づいていると感じる．,True,4
論文中で、ロボットの動作により発言の少ない参加者が『話したい』と感じたり、発言の多い参加者に対しては無意識のうちに自分の発言の多さに気づかされるなど、具体的な感情や心理反応を期待している点が議論されている。,提案システムは、ロボットの振る舞いを通じて会議参加者の感情状態、特に『緊張感の低減』と『自発的な発言』を引き出すことを狙っており、ユーザの感情状態に直接働きかけることを意図している。,本稿は主としてファシリテーション手法の設計に焦点を当てているが、その中で参加者の心理状態（緊張感の低減、発言促進といった感情）の変化を明確に意図しており、EDAとしての要素が十分に議論されている。ただし、感情設計が主題として全面的に扱われるわけではないため、やや補助的な位置付けとなっている。,True,IPSJ-EC2024093.txt,本文では、会議参加者が厳密に指名される場合に生じる緊張感や心理的プレッシャーを回避し、自発的な発言を促すことを目的として、ロボットの動作（近づく・離れる）によるファシリテーションをデザインしている。これは、ユーザが感じるべき心理状態（例：安心感や緊張感の低減）が明確に設計要求として盛り込まれているため。,会議参加者,True,発言を促すことで，指名された人は発言の準備ができ，緊張感の少ない，ゆるやかなファシリテーションとなることを目指す;ロボットがあたかも話を聞きたがっているかのように振る舞い，自発的な発言のきっかけをつくる,True,3
論文内では、実験評価を通じてユーザが激励文を受け取った際にどのような感情反応が生じたか（例：『自分の努力が理解され，評価されていると感じた』）が定性的に議論され、期待される感情体験が明示的に扱われているため。,システムは、生成AIを用いてユーザに対しパーソナライズされた激励文を提供し、ユーザ自身の感情状態（励まされる、認められていると感じる）を deliberately 変化させることを目的としているため。,EDAsとしてのターゲット感情（継続意欲・モチベーション）がシステム設計の核心にあり、具体的なフィードバック例や実験評価が示されるなど、感情状態に及ぼす影響が明確に記述されている。,True,IPSJ-EC2024086.txt,論文では『ユーザの継続意欲を向上させる』ことが設計要求として明確に定義され、個々のユーザの努力に応じた激励文を生成することで、ユーザの感情状態（モチベーションや達成感）に直接影響を与えることを意図しているため。,content user,True,ユーザの継続意欲を向上させる;モチベーションを高める;自分の努力が理解され，評価されていると感じた,True,4
この論文は、どのような感情反応が期待されるかについて詳しく論じています。異なるトリガー抵抗設定がユーザーの貨幣価値の認識をどのように変えるか（例：抵抗が増すことでより多くの金を使っていると感じる）をカバーし、ユーザーフィードバック（例：「お金の重さを感じ投げている実感」、「達成感」）を記述しています。これは、ユーザーの感情状態への意図された影響を示しています。,提案された方法は、チップの金額に基づいてコントローラーのトリガーの抵抗と深さを変えることによって、ユーザーの自らの感情状態に影響を与えることを意図しています。これにより、重量感、存在感、達成感などの感情を呼び起こすために、触覚的感覚を直接変化させます。,ターゲットとする感情反応はデザイン要件として明確に述べられ、ユーザーの感情に対する意図した影響は明示されており、この論文は期待される体験結果について詳細に論じています。これにより、EDAは作業の明確で中心的なトピックとなっています。,True,IPSJ-EC2024076.txt,この論文は、チップを送り行う際に特定の触覚体験を呼び起こすべきことを明確に指定しています。具体的には、「お金を投げている感覚」と達成感などの関連する感情を含みます。この要求は、ユーザー体験を向上させるためにデザインに明確に設定されています。,content user,True,お金を投げている感覚;達成感;お金の重さを感じ投げている実感,True,4
論文内では、例えば視聴ユーザーが‘空間への没入感’を強く感じるような提示方法、アバターと主観映像の同時提示による体験再現の手法など、どのような感情反応を期待しているかが具体的に示されており、その結果や課題も議論されている。,システム自体が、ユーザーの感覚状態（例：没入感や臨場感）を積極的に変化させることを狙って設計され、実際のVR体験の共有により現実的な身体的コミュニケーションや視覚的情報の提示を通じて、ユーザーの感情に直接影響を与えることを目的としている。,論文は主に技術的実現方法の提示が中心だが、同時にユーザーが受ける感情体験（没入感、臨場感）についても明示的に言及しており、感情変化への働きかけがデザイン要件の一部として組み込まれている。しかし、感情に関する議論は技術実現の補助的な立場にあるため、完全に深く掘り下げられてはいない。,True,IPSJ-EC2024100.txt,本システムは、VR空間内での共有体験において、ユーザーが実際に体感できる‘没入感’や‘一体感’を意図的に高める設計になっている。特に、視点映像の提示方法や3Dアバターの動作制御を通して、ユーザーの空間認識や体験感情に直接働きかけているため、デザイン段階で感じてほしい感情反応が明確に設定されている。,視聴ユーザー,True,視聴者が空間への没入感を高く感じる;VR 体験の没入感を高めるため,True,3
論文中でユーザーにどのような具体的な感情反応を引き起こすかについての議論はなく、技術的検討や実験結果の提示が中心となっている。,システムはより自然でインタラクティブな演奏体験を提供することを目指しているが、その結果としてユーザーの感情をどのように変化させるかについては意図が明確に示されていない。,システムの開発や技術的課題、モデルの改善点が主なテーマであり、ユーザーの感情状態に直接作用する要素（EDA）として明確に扱っているとは言えない。,False,IPSJ-EC2024073.txt,本論文はシステムの技術的側面や合いの手生成に焦点を当てており、ユーザー（演奏者）の具体的な「感情状態」を明確に設計要件として定義していない。,演奏者,False,,False,1
論文内では、設計されたシステムがどのように『臨場感あふれる』オンラインツアー体験を提供し、実運用後のアンケート結果で視聴者の満足度や体験の評価が示されるなど、ユーザの感情に及ぼす影響について言及がある。,システムは、オンラインツアーにおいて従来の遠隔感を克服し、視聴者が自宅にいながらも実際のサファリの情景を臨場感たっぷりに体験できるよう、感情状態の変化（例：ワクワク感、現場の迫力）を直接狙っている。,本論文では、ユーザが得るべき感情体験として『臨場感』や『近接感』が設計上の要件として明示され、実施実験とアンケートでその評価にも言及しているため、EDAは主要な議題として扱われるが、感情表現の具体的な定義や測定方法については技術的側面とともに言及されている点から、主題としては明確であるもののやや技術依存に留まっている。,True,IPSJ-EC2024002.txt,本システムは、利用者に『臨場感』や『間近で動物の行動を体感する』という体験を提供することを設計要件の中核として明記しているため、開発者が狙う感情（immersive experience）が明示されている。,content user (視聴者),True,臨場感あふれるジャングルバスオンラインツアー;動物がエサを食べる瞬間を至近距離で撮影し，視聴者に配信できる,True,3
論文内では、映像や写真に対してプレイヤがどのような心情（例：『適度な納得感』、『意外な展開』）を得るのかが具体的に議論され、システムやマルチモーダルLLMの特性として説明されているため。,コンテンツ自体が現実世界とデジタル世界の連携を通して、プレイヤが直接体験し感じる『面白さ』や『没入感』などの感情変化を狙いとして設計されているため。,EDAsとして注目すべき感情（没入感、納得感、意外性など）が論文の中心的な設計要素として明確に扱われており、プレイヤの感情反応を強調しているため。,True,IPSJ-EC2024013.txt,本稿では、ゲームデザインの中でプレイヤが得るべき具体的な感情（例：没入感、納得感、意外性、満足感など）が明示され、それらがコンテンツの設計要件に組み込まれているため。,プレイヤ,True,現実世界とデジタル世界のリンクが挙げられる．... プレイヤの没入感やイリュージョン感覚を高める;プレイヤの意図や工夫が反映される「納得感」と，時には「意外な展開」を生じさせることを目指す;プレイヤは『適度な納得感』を得る生成を実現し，多人数がリアルタイムに参加できるゲームデザインを構築した;より深い没入感と満足感を得ることができる,True,4
この論文では、プレイヤーが自分の印象や感覚知覚を共有する方法について論じていますが、コンテンツの使用によって意図的に引き起こされる期待される感情や感覚の反応（例：興奮、喜び、緊張などの定義された感情）を記述や分析していません。,このコンテンツは、ユーザーの特定の感情状態に意図的に影響を与えたり誘発したりするのではなく、主観的印象のコミュニケーションとデータ収集を可能にすることを目的としています。,ゲームや手法が、明確に定義された感情反応を主要なデザイン目標として設計された証拠はほとんどありません。焦点は、特定の感情状態を引き起こすことではなく、知覚的印象を注釈付けし共有することにあります。,False,IPSJ-EC2024038.txt,この論文では、デザイン要件の一部として、ターゲットとする感情や感覚の反応の明示的な仕様が含まれていません。それは、ユーザーの内部の感情状態の特定の変化を直接定義したりターゲットにしたりするのではなく、オノマトペを通じた視覚的テクスチャの共有知覚を促進することに焦点を当てています。,,False,,False,1
